"","cell_id","new_clusters"
"394","cell_10100","4"
"395","cell_10102","3"
"396","cell_10105","3"
"397","cell_10107","3"
"398","cell_10110","3"
"399","cell_10114","3"
"400","cell_10118","4"
"401","cell_10123","3"
"402","cell_10125","6"
"403","cell_10126","3"
"404","cell_10134","3"
"405","cell_10135","6"
"406","cell_10138","3"
"407","cell_10139","4"
"408","cell_10140","6"
"409","cell_10145","1"
"410","cell_10147","3"
"411","cell_10149","6"
"412","cell_10150","6"
"413","cell_10155","3"
"414","cell_10156","6"
"415","cell_10157","3"
"416","cell_10159","6"
"417","cell_10160","3"
"418","cell_10161","3"
"419","cell_10162","6"
"420","cell_10163","6"
"421","cell_10164","3"
"422","cell_10167","6"
"423","cell_10171","3"
"424","cell_10172","3"
"425","cell_10177","1"
"426","cell_10178","6"
"427","cell_10182","3"
"428","cell_10186","6"
"429","cell_10190","6"
"430","cell_10193","3"
"431","cell_10195","6"
"432","cell_10201","6"
"433","cell_10202","1"
"434","cell_10205","6"
"435","cell_10206","6"
"436","cell_10208","6"
"437","cell_10210","6"
"438","cell_10211","3"
"439","cell_10212","4"
"440","cell_10223","6"
"441","cell_10226","3"
"442","cell_10234","3"
"443","cell_10235","6"
"444","cell_10236","6"
"445","cell_10241","3"
"446","cell_10242","3"
"447","cell_10243","6"
"448","cell_10245","3"
"449","cell_10247","6"
"450","cell_10248","3"
"451","cell_10249","3"
"452","cell_10252","6"
"453","cell_10254","6"
"454","cell_10256","3"
"455","cell_10259","6"
"456","cell_10263","4"
"457","cell_10264","3"
"458","cell_10267","7"
"459","cell_10269","3"
"460","cell_10272","4"
"461","cell_10273","6"
"462","cell_701","5"
"463","cell_702","5"
"464","cell_703","5"
"465","cell_705","5"
"466","cell_709","4"
"467","cell_710","3"
"468","cell_712","5"
"469","cell_713","7"
"470","cell_714","3"
"471","cell_716","3"
"472","cell_717","3"
"473","cell_720","3"
"474","cell_724","1"
"475","cell_725","3"
"476","cell_727","3"
"477","cell_730","3"
"478","cell_732","1"
"479","cell_736","3"
"480","cell_737","3"
"481","cell_738","3"
"482","cell_739","3"
"483","cell_740","1"
"484","cell_743","1"
"485","cell_749","7"
"486","cell_751","3"
"487","cell_752","3"
"488","cell_756","3"
"489","cell_757","1"
"490","cell_758","1"
"491","cell_760","5"
"492","cell_762","3"
"493","cell_764","3"
"494","cell_765","1"
"495","cell_767","1"
"496","cell_772","3"
"497","cell_775","3"
"498","cell_776","1"
"499","cell_780","3"
"500","cell_781","4"
"501","cell_784","3"
"502","cell_786","5"
"503","cell_788","4"
"504","cell_790","3"
"505","cell_791","3"
"506","cell_792","4"
"507","cell_793","1"
"508","cell_794","3"
"509","cell_796","7"
"510","cell_799","5"
"511","cell_803","3"
"512","cell_804","3"
"513","cell_805","2"
"514","cell_806","1"
"515","cell_808","3"
"516","cell_809","3"
"517","cell_810","3"
"518","cell_812","6"
"519","cell_816","3"
"520","cell_818","3"
"521","cell_926","4"
"522","cell_927","4"
"523","cell_928","4"
"524","cell_929","1"
"525","cell_930","4"
"526","cell_932","4"
"527","cell_935","1"
"528","cell_936","1"
"529","cell_937","4"
"530","cell_938","4"
"531","cell_939","4"
"532","cell_940","5"
"533","cell_941","5"
"534","cell_948","4"
"535","cell_950","4"
"536","cell_951","4"
"537","cell_955","5"
"538","cell_957","5"
"539","cell_959","4"
"540","cell_960","6"
"541","cell_961","1"
"542","cell_963","4"
"543","cell_965","4"
"544","cell_967","5"
"545","cell_969","4"
"546","cell_971","5"
"547","cell_974","4"
"548","cell_976","4"
"549","cell_980","1"
"550","cell_981","4"
"551","cell_982","1"
"552","cell_983","5"
"553","cell_985","4"
"554","cell_987","5"
"555","cell_992","5"
"556","cell_993","4"
"557","cell_997","4"
"558","cell_999","4"
"559","cell_1000","4"
"560","cell_1005","4"
"561","cell_1011","4"
"562","cell_1012","4"
"563","cell_1013","1"
"564","cell_1015","4"
"565","cell_1016","6"
"566","cell_1018","6"
"567","cell_1019","6"
"568","cell_1020","4"
"569","cell_1021","1"
"570","cell_1023","6"
"571","cell_1024","4"
"572","cell_1026","1"
"573","cell_1028","1"
"574","cell_1030","4"
"575","cell_1031","4"
"576","cell_1032","4"
"577","cell_1034","4"
"578","cell_1036","4"
"579","cell_1037","4"
"580","cell_1041","1"
"581","cell_1044","1"
"582","cell_1045","4"
"583","cell_1046","1"
"584","cell_1048","5"
"585","cell_1050","6"
"586","cell_1051","1"
"587","cell_1052","1"
"588","cell_1053","1"
"589","cell_1055","4"
"590","cell_1057","1"
"591","cell_1060","4"
"592","cell_1061","6"
"593","cell_1062","4"
"594","cell_1063","1"
"595","cell_1066","6"
"596","cell_1067","6"
"597","cell_1069","1"
"598","cell_1074","6"
"599","cell_1077","5"
"600","cell_1083","4"
"601","cell_1085","4"
"602","cell_1088","4"
"603","cell_1090","4"
"604","cell_1092","1"
"605","cell_1094","4"
"606","cell_1095","5"
"607","cell_1096","5"
"608","cell_1098","4"
"609","cell_1099","1"
"610","cell_1100","5"
"611","cell_1103","1"
"612","cell_1104","5"
"613","cell_1105","4"
"614","cell_1106","4"
"615","cell_1107","4"
"616","cell_1108","5"
"617","cell_1109","5"
"618","cell_1111","4"
"619","cell_1113","5"
"620","cell_1116","5"
"621","cell_1118","5"
"622","cell_1123","4"
"623","cell_1125","4"
"624","cell_1127","5"
"625","cell_1128","6"
"626","cell_1129","5"
"627","cell_1131","1"
"628","cell_1133","5"
"629","cell_1135","4"
"630","cell_1139","6"
"631","cell_1142","5"
"632","cell_1143","4"
"633","cell_1144","4"
"634","cell_1148","5"
"635","cell_1149","5"
"636","cell_1150","5"
"637","cell_1151","1"
"638","cell_1152","1"
"639","cell_1153","4"
"640","cell_1155","5"
"641","cell_1160","5"
"642","cell_1161","6"
"643","cell_1165","1"
"644","cell_1167","5"
"645","cell_1168","4"
"646","cell_1173","6"
"647","cell_1179","1"
"648","cell_1183","4"
"649","cell_1184","5"
"650","cell_1186","4"
"651","cell_1187","1"
"652","cell_1188","1"
"653","cell_1189","4"
"654","cell_1191","1"
"655","cell_1192","4"
"656","cell_1196","5"
"657","cell_1198","4"
"658","cell_1199","1"
"659","cell_1200","5"
"660","cell_1202","1"
"661","cell_1204","4"
"662","cell_1209","4"
"663","cell_1212","1"
"664","cell_1213","4"
"665","cell_1214","4"
"666","cell_1216","6"
"667","cell_1217","6"
"668","cell_1220","5"
"669","cell_1225","3"
"670","cell_1226","1"
"671","cell_1228","1"
"672","cell_1230","1"
"673","cell_1231","1"
"674","cell_1232","1"
"675","cell_1233","6"
"676","cell_1234","4"
"677","cell_1235","4"
"678","cell_1236","5"
"679","cell_1237","1"
"680","cell_1238","4"
"681","cell_1241","4"
"682","cell_1242","5"
"683","cell_1245","1"
"684","cell_1247","6"
"685","cell_1252","4"
"686","cell_1253","1"
"687","cell_1254","4"
"688","cell_1255","1"
"689","cell_1256","5"
"690","cell_1257","5"
"691","cell_1258","4"
"692","cell_1259","1"
"693","cell_1260","1"
"694","cell_1261","4"
"695","cell_1262","1"
"696","cell_1264","3"
"697","cell_1265","4"
"698","cell_1272","6"
"699","cell_1278","5"
"700","cell_1281","4"
"701","cell_1282","5"
"702","cell_1285","1"
"703","cell_1287","6"
"704","cell_1288","1"
"705","cell_1292","4"
"706","cell_1293","6"
"707","cell_1294","4"
"708","cell_1297","1"
"709","cell_1301","6"
"710","cell_1305","4"
"711","cell_1307","4"
"712","cell_1310","3"
"713","cell_1311","1"
"714","cell_1312","5"
"715","cell_1313","1"
"716","cell_1316","1"
"717","cell_1319","5"
"718","cell_1320","4"
"719","cell_1321","4"
"720","cell_1323","5"
"721","cell_1325","4"
"722","cell_1327","5"
"723","cell_1328","4"
"724","cell_1330","4"
"725","cell_1331","5"
"726","cell_1332","4"
"727","cell_1333","3"
"728","cell_1334","5"
"729","cell_1335","4"
"730","cell_1338","5"
"731","cell_1341","1"
"732","cell_1343","4"
